,Station,entries_diff,stop_lat,stop_lon
159,KINGSTON AV,5216.47413793,40.669399,-73.942161
88,BAY RIDGE-95 ST,5129.95652174,40.616622,-74.030876
104,BRIARWOOD,5077.87719298,40.709179,-73.820574
133,FAR ROCKAWAY,5063.23275862,40.603995,-73.755405
208,WOODHAVEN BLVD,5017.85087719,40.693879,-73.851576
190,SMITH-9 ST,4946.20792079,40.67358,-73.995959
130,EASTN PKWY-MUSM,4927.8362069,40.671987,-73.964375
24,190 ST,4722.56521739,40.859022,-73.93418
99,BEVERLY RD,4595.38596491,40.645098,-73.948959
207,WILSON AV,4555.35042735,40.688764,-73.904046
2,104 ST,4383.77586207,40.695178,-73.84433
171,NECK RD,4323.26724138,40.595246,-73.955161
192,ST LAWRENCE AV,4298.18965517,40.831509,-73.867618
147,HARLEM 148 ST,4264.48214286,40.82388,-73.93647
164,METROPOLITAN AV,4246.4137931,40.711396,-73.889601
181,PRESIDENT ST,4191.85344828,40.667883,-73.950683
97,BERGEN ST,4094.44736842,40.686145,-73.990862
73,85 ST-FOREST PK,4075.31896552,40.692435,-73.86001
68,75 ST-ELDERTS,3950.5,40.691324,-73.867139
157,JUNIUS ST,3894.48571429,40.663515,-73.902447
44,4 AV-9 ST,3859.98058252,40.670847,-73.988302
33,25 ST,3858.79310345,40.660397,-73.998091
61,6 AV,3696.56034483,40.737335,-73.996786
67,75 AV,3695.27586207,40.718331,-73.837324
66,74 ST-BROADWAY,3580.13392857,40.746644,-73.891338
102,BOWERY,3562.7079646,40.72028,-73.993915
8,138/GRAND CONC,3491.90517241,40.813224,-73.929849
177,PARK PLACE,3487.81896552,40.714111,-74.008585
175,OCEAN PKWY,3239.87931034,40.576312,-73.96849
43,39 AV,3088.08181818,40.752882,-73.932755
82,AVENUE H,3076.75652174,40.62927,-73.961639
98,BEVERLEY ROAD,3023.9122807,40.644031,-73.964492
85,AVENUE P,2831.25217391,40.608944,-73.973022
5,121 ST,2568.5862069,40.700492,-73.828294
92,BEACH 60 ST,2542.06034483,40.592374,-73.788522
86,AVENUE X,2513.13043478,40.58962,-73.97425
93,BEACH 67 ST,2433.64864865,40.590927,-73.796924
57,55 ST,2266.85087719,40.631435,-73.995476
30,215 ST,2177.19130435,40.869444,-73.915279
110,BUSHWICK AV,2124.02586207,40.682829,-73.905249
77,AQUEDUCT RACETR,2041.5862069,40.668234,-73.834058
89,BEACH 25 ST,1995.66666667,40.600066,-73.761353
203,W 8 ST-AQUARIUM,1976.0,40.576128,-73.975936
206,WHITLOCK AV,1841.28318584,40.826525,-73.886283
81,ATLANTIC AV,1566.80898876,40.675345,-73.903097
126,CYPRESS HILLS,1507.24137931,40.689941,-73.87255
90,BEACH 36 ST,933.789473684,40.595398,-73.768175
91,BEACH 44 ST,644.403508772,40.592943,-73.776013
