Station,Station,stop_lat,stop_lon
ST LAWRENCE AV,ST LAWRENCE AV,40.831509,-73.867618
ST. GEORGE,ST. GEORGE,40.643748,-74.073643
STEINWAY ST,STEINWAY ST,40.756879,-73.92074
STERLING ST,STERLING ST,40.662742,-73.95085
SUTPHIN-ARCHER,SUTPHIN-ARCHER,40.70546,-73.810708
SUTTER AV-RUTLD,SUTTER AV-RUTLD,40.664717,-73.92261
TIMES SQ-42 ST,TIMES SQ-42 ST,40.75529,-73.987495
UNION ST,UNION ST,40.677316,-73.98311
V.CORTLANDT PK,V.CORTLANDT PK,40.889248,-73.898583
VAN SICLEN AV,VAN SICLEN AV,40.665449,-73.889395
VERNON-JACKSON,VERNON-JACKSON,40.742626,-73.953581
W 8 ST-AQUARIUM,W 8 ST-AQUARIUM,40.576128,-73.975936
WALL ST,WALL ST,40.706821,-74.0091
WESTCHESTER SQ,WESTCHESTER SQ,40.839892,-73.842952
WHITLOCK AV,WHITLOCK AV,40.826525,-73.886283
WILSON AV,WILSON AV,40.688764,-73.904046
WOODHAVEN BLVD,WOODHAVEN BLVD,40.693879,-73.851576
WOODLAWN,WOODLAWN,40.886037,-73.878751
WORLD TRADE CTR,WORLD TRADE CTR,40.714111,-74.008585
